No,carat,cut,color,clarity,depth,table,price,x,y,z
382,0.52,Premium,H,SI1,61.6,57,1138,5.2,5.15,3.19
383,0.7,Fair,H,I1,62.1,66,1138,5.56,5.52,3.44
384,0.4,Very Good,H,VVS1,62.3,55,1139,4.73,4.77,2.95
385,0.76,Fair,H,I1,64.5,57,1140,5.79,5.76,3.73
386,0.5,Premium,H,SI1,60.2,61,1141,5.16,5.14,3.1
387,0.42,Premium,H,VVS1,62,58,1142,4.82,4.79,2.98
388,0.47,Premium,H,VS1,61.8,58,1143,4.94,4.99,3.07
389,0.56,Very Good,H,SI2,59.5,57,1144,5.4,5.43,3.22
390,0.5,Very Good,H,SI1,60,55,1148,5.2,5.23,3.13
391,0.53,Very Good,H,SI1,61.7,60,1152,5.17,5.21,3.2
392,0.54,Premium,H,SI1,61,58,1154,5.23,5.27,3.2
393,0.5,Fair,H,VS1,66.5,60,1155,4.93,4.85,3.25
394,0.5,Premium,H,SI1,59,59,1156,5.22,5.18,3.07
395,0.62,Premium,H,SI2,61,62,1159,5.47,5.42,3.32
396,0.53,Premium,H,SI1,61.2,60,1159,5.22,5.1,3.16
397,0.59,Very Good,H,SI2,60.3,56,1160,5.43,5.48,3.29
398,0.52,Very Good,H,SI1,62.6,59,1161,5.06,5.13,3.19
399,0.51,Premium,H,SI1,60,61,1163,5.2,5.17,3.11
400,0.41,Very Good,H,VVS1,62,56,1166,4.77,4.81,2.97
401,0.6,Premium,H,SI1,62.4,58,1170,5.4,5.34,3.35
402,0.51,Very Good,H,SI1,62,57,1170,5.11,5.19,3.19
403,0.5,Premium,H,SI1,62.9,58,1172,5.04,5.01,3.16
404,0.52,Very Good,H,SI1,59.3,59,1175,5.25,5.28,3.12
405,0.5,Fair,H,VS2,65.1,59,1175,5.02,5.06,3.28
406,0.47,Very Good,H,VS2,57.2,60,1178,5.18,5.21,2.97
407,0.5,Very Good,H,VS2,61.8,63,1178,5.08,5.05,3.13
408,0.56,Very Good,H,SI1,61.2,57,1179,5.28,5.31,3.24
409,0.23,Premium,H,VVS2,59.2,61,500,4.04,4,2.38
410,0.5,Very Good,H,SI1,63.1,59,1181,5.02,4.96,3.15
411,0.41,Very Good,H,IF,62.9,54,1187,4.71,4.74,2.97
412,0.53,Very Good,H,SI1,61.7,55,1189,5.2,5.24,3.22
413,0.42,Very Good,H,VS2,60.9,55,1190,4.87,4.89,2.97
414,0.42,Very Good,H,VVS1,62.2,56,1193,4.78,4.81,2.98
415,0.53,Premium,H,SI1,60.9,60,1193,5.26,5.19,3.18
416,0.54,Very Good,H,SI2,60.7,55,1194,5.31,5.34,3.23
417,0.44,Very Good,H,IF,61.1,57,1194,4.91,4.94,3.01
418,0.51,Premium,H,SI1,NA,58,1195,5.21,5.19,3.14
419,0.44,Premium,H,VVS1,60.1,58,1196,4.96,4.92,2.97
420,0.56,Very Good,H,SI1,61.3,60,1197,5.23,5.28,3.22
421,0.51,Premium,H,VS2,60.9,60,1202,5.19,5.16,3.15
422,0.5,Very Good,H,VS2,63,55,1209,5.05,5.08,3.19
423,0.31,Premium,H,SI2,59.5,59,501,4.45,4.39,2.63
424,0.27,Very Good,H,VVS2,62.5,55,504,4.12,4.16,2.59
425,0.5,Good,H,VVS2,66.1,58,1214,4.87,4.9,3.23
426,0.57,Good,H,SI1,63.1,54,1218,5.28,5.3,3.34
427,0.57,Premium,H,SI1,59.3,58,1218,5.4,5.46,3.22
428,0.6,Premium,H,SI1,60.1,61,1219,5.43,5.39,3.25
429,0.58,Very Good,H,SI1,61.8,56,1219,5.34,5.38,3.31
430,0.52,Premium,H,SI1,62.6,55,1219,5.16,5.12,3.22
431,0.52,Very Good,H,SI1,63.1,57,1219,5.14,5.09,3.23
432,0.5,Premium,H,SI1,62.1,60,1219,5.06,5.02,3.13
433,0.43,Very Good,H,VVS1,60.2,55,1220,4.92,4.95,2.97
434,0.47,Premium,H,VS1,61.8,58,1221,4.99,4.94,3.07
435,0.51,Very Good,H,SI1,63.4,57,1227,5.09,5.06,3.22
436,0.51,Good,H,SI1,63.7,56,1227,5.1,5.07,3.24
437,0.45,Fair,H,VVS2,65.8,56,1227,4.82,4.7,3.13
438,0.56,Very Good,H,SI1,59.9,60,1230,5.3,5.35,3.19
439,0.51,Fair,H,VS1,55.5,64,1234,5.44,5.4,3.01
440,0.54,Very Good,H,SI1,61.6,56,1235,5.21,5.24,3.22
441,0.63,Fair,H,SI2,64.7,61,1235,5.33,5.27,3.43
442,0.3,Very Good,H,SI1,62.4,58,389,4.23,4.29,2.66
443,0.23,Very Good,H,VVS2,59.2,61,389,4,4.04,2.38
444,0.31,Premium,H,SI2,59.5,59,390,4.39,4.45,2.63
445,0.3,Very Good,H,SI1,58.7,63,393,4.32,4.37,2.55
446,0.32,Good,H,SI2,63.2,55,393,4.34,4.36,2.75
447,0.27,Very Good,H,VVS1,61.2,57,504,4.15,4.18,2.55
448,0.32,Premium,H,SI2,NA,59,504,4.42,4.39,2.66
449,0.32,Very Good,H,SI2,63.2,55,504,4.36,4.34,2.75
450,0.3,Very Good,H,SI1,58.7,63,504,4.37,4.32,2.55
451,0.59,Very Good,H,SI1,61.8,56,1239,5.39,5.43,3.35
452,0.58,Very Good,H,SI1,62.1,55,1239,5.35,5.38,3.33
453,0.58,Very Good,H,SI1,59.7,57,1239,5.41,5.47,3.25
454,0.58,Very Good,H,SI1,58.4,59,1239,5.48,5.51,3.21
455,0.5,Good,H,VS2,56.3,65,1239,5.21,5.24,2.94
456,0.54,Very Good,H,SI1,63.3,57,1240,5.22,5.15,3.28
457,0.54,Premium,H,SI1,61,58,1240,5.27,5.23,3.2
458,0.45,Good,H,VVS1,56.8,64,1240,5.08,4.99,2.86
459,0.53,Good,H,SI1,63.9,55,1242,5.19,5.14,3.3
460,0.53,Premium,H,SI1,59.4,60,1242,5.26,5.24,3.12
461,0.53,Good,H,SI1,63.7,55,1242,5.15,5.12,3.27
462,0.47,Premium,H,VS1,60.3,61,1244,5.05,5.04,3.04
463,0.55,Premium,H,SI2,62.4,56,1246,5.23,5.2,3.25
464,0.57,Premium,H,SI1,61.6,58,1247,5.37,5.34,3.3
465,0.54,Very Good,H,SI1,61,57,1248,5.22,5.27,3.2
466,0.85,Fair,H,I1,66.9,54,1250,5.98,5.75,3.94
467,0.51,Premium,H,SI1,61.6,56,1250,5.19,5.14,3.18
468,0.51,Very Good,H,VS2,59.8,57,1251,5.22,5.25,3.13
469,0.5,Premium,H,VS1,62.7,59,1253,5.03,4.98,3.14
470,0.59,Very Good,H,SI2,61.2,60,1254,5.38,5.43,3.31
471,0.7,Good,H,I1,57.4,63,1255,5.89,5.8,3.36
472,0.5,Very Good,H,VS2,62.8,58,1262,5.03,5.07,3.17
473,0.58,Very Good,H,SI1,62.4,55,1262,5.32,5.36,3.33
474,0.28,Very Good,H,VVS1,59.9,62,504,4.23,4.28,2.55
475,0.28,Very Good,H,VVS1,61.5,58,504,4.17,4.22,2.58
476,0.35,Premium,H,SI1,62.4,58,504,4.47,4.54,2.81
477,0.35,Very Good,H,SI1,61.3,55,504,4.55,4.58,2.8
478,0.35,Good,H,SI1,63.2,57,504,4.48,4.51,2.84
479,0.35,Good,H,SI1,63.3,54,504,4.51,4.53,2.86
480,0.55,Good,H,SI1,63.6,55,1263,5.23,5.18,3.31
481,0.59,Premium,H,SI1,62.4,58,1265,5.42,5.35,3.36
482,0.59,Premium,H,SI1,62.9,60,1265,5.34,5.24,3.33
483,0.59,Premium,H,SI1,61.9,59,1265,5.43,5.34,3.33
484,0.51,Very Good,H,VS2,63.5,60,1268,5.04,5.01,3.19
485,0.55,Premium,H,VS2,59.9,61,1270,5.31,5.28,3.17
486,0.55,Very Good,H,SI1,59.4,58,1270,5.36,5.38,3.19
487,0.48,Premium,H,VS1,60.7,61,1270,5.04,5.01,3.05
488,0.64,Premium,H,SI1,60,59,1274,5.63,5.57,3.36
489,0.45,Very Good,H,VVS1,62.3,57,1274,4.9,4.93,3.06
490,0.85,Fair,H,I1,71.2,54,1274,5.77,5.65,4.07
491,0.53,Good,H,VS1,57.6,64,1282,5.41,5.36,3.1
492,0.59,Very Good,H,SI1,62.8,56,1283,5.35,5.38,3.37
493,0.56,Very Good,H,SI1,63.2,57,1286,5.27,5.23,3.32
494,0.56,Premium,H,SI1,61.3,60,1286,5.28,5.23,3.22
495,0.52,Good,H,VS2,63.7,54,1289,5.09,5.12,3.25
496,0.52,Very Good,H,VS2,62,57,1289,5.08,5.12,3.16
497,0.52,Good,H,VS2,63.6,57,1289,5.05,5.1,3.23
498,0.52,Good,H,VS2,63.5,58,1289,5.11,5.12,3.25
499,0.64,Very Good,H,SI2,64.2,58,1292,5.43,5.48,3.5
500,0.56,Fair,H,VS2,52.7,70,1293,5.71,5.57,2.97
501,0.32,Premium,H,VS2,61.9,58,505,4.37,4.39,2.71
502,0.32,Premium,H,VS2,61,60,505,4.35,4.41,2.67
503,0.36,Very Good,H,SI1,63,55,505,4.51,4.54,2.85
504,0.32,Very Good,H,VS2,63,57,505,4.33,4.37,2.74
505,0.32,Premium,H,VS2,61.4,60,505,4.39,4.41,2.7
506,0.32,Very Good,H,VS2,62.7,54,505,4.39,4.41,2.76
507,0.5,Very Good,H,VS2,62.3,58,1302,5.05,5.12,3.17
508,0.57,Very Good,H,SI1,63.1,54,1309,5.3,5.28,3.34
509,0.57,Premium,H,SI1,59.3,58,1309,5.46,5.4,3.22
510,0.52,Very Good,H,VS1,59.6,57,1320,5.25,5.34,3.15
511,0.85,Fair,H,I1,61,61,1324,6.2,6,3.73
512,0.85,Fair,H,I1,66.7,59,1324,5.86,5.78,3.88
513,0.55,Very Good,H,VS2,60.2,59,1327,5.36,5.24,3.19
514,0.51,Very Good,H,VS2,60.1,59.8,1328,5.14,5.19,3.1
515,0.65,Very Good,H,SI2,62,56,1331,5.53,5.56,3.44
516,0.32,Premium,H,VS2,59.5,58,505,4.47,4.5,2.67
517,0.32,Premium,H,VS2,60.7,60,505,4.39,4.41,2.67
518,0.32,Very Good,H,VS2,60.6,58,505,4.44,4.47,2.7
519,0.32,Very Good,H,VS2,62.8,55,505,4.38,4.41,2.76
520,0.32,Good,H,VS2,63.1,55,505,4.33,4.36,2.74
521,0.32,Premium,H,VS2,62.5,59,505,4.33,4.38,2.72
522,0.32,Very Good,H,VS2,63,57,505,4.35,4.38,2.75
523,0.32,Premium,H,VS2,61.7,59,505,4.35,4.4,2.7
524,0.32,Very Good,H,VS2,60.7,61,505,4.39,4.41,2.67
525,0.32,Premium,H,VS2,60.6,58,505,4.44,4.47,2.7
526,0.32,Very Good,H,VS2,62.3,57,505,4.37,4.39,2.73
527,0.58,Premium,H,SI1,58.4,59,1332,5.51,5.48,3.21
528,0.58,Premium,H,SI1,59.7,57,1332,5.47,5.41,3.25
529,0.58,Premium,H,SI1,62.1,55,1332,5.38,5.35,3.33
530,0.58,Very Good,H,SI1,63.3,56,1332,5.34,5.31,3.37
531,0.5,Fair,H,VS2,56.3,65,1332,5.24,5.21,2.94
532,0.5,Premium,H,VS2,60.9,59,1332,5.14,5.11,3.12
533,0.89,Fair,H,I1,58.8,66,1334,6.21,6.09,3.62
534,0.5,Very Good,H,VS2,62.9,58,1337,5.08,5.1,3.2
535,0.5,Very Good,H,VS2,62.3,57,1337,5.03,5.12,3.16
536,0.5,Very Good,H,VS2,62.3,56,1337,5.06,5.11,3.17
537,0.54,Good,H,VS2,63.2,55,1338,5.2,5.24,3.3
538,0.54,Very Good,H,VS2,62.6,58,1338,5.16,5.19,3.24
539,0.6,Premium,H,SI1,58.9,61,1341,5.54,5.5,3.25
540,0.51,Very Good,H,VS1,62.5,58,1343,5.09,5.12,3.19
541,0.5,Very Good,H,VS2,62.6,56,1349,4.99,5.11,3.16
542,0.53,Premium,H,VS2,59.1,59,1356,5.33,5.26,3.13
543,0.51,Premium,H,VS2,58.5,61,1359,5.26,5.23,3.07
544,0.54,Good,H,VS1,63.2,58,1361,5.12,5.16,3.25
545,0.54,Good,H,VS1,63.2,60,1361,5.13,5.16,3.25
546,0.5,Good,H,VVS2,61.9,64.3,1362,5.01,5.03,3.11
547,0.55,Premium,H,VS2,62.1,58,1363,5.24,5.29,3.27
548,0.32,Premium,H,VS2,60.7,58,505,4.43,4.46,2.7
549,0.32,Premium,H,VS2,NA,59,505,4.39,4.43,2.67
550,0.32,Very Good,H,VS2,62.4,58,505,4.33,4.36,2.71
551,0.51,Good,H,VS1,59.4,61.9,1376,5.18,5.2,3.08
552,NA,Very Good,H,SI1,NA,63,1378,5.45,5.41,3.28
553,0.51,Premium,H,VS1,60.3,58,1381,5.16,5.19,3.12
554,0.61,Premium,H,SI1,59.5,62,1382,5.55,5.51,3.29
555,0.52,Very Good,H,VS2,63.5,58,1385,5.12,5.11,3.25
556,0.52,Good,H,VS2,63.6,57,1385,5.1,5.05,3.23
557,0.52,Good,H,VS2,63.7,54,1385,5.12,5.09,3.25
558,0.5,Very Good,H,VS2,63.9,57,1387,5.04,5.07,3.23
559,0.55,Premium,H,VS2,60.2,59,1387,5.36,5.24,3.19
560,0.52,Very Good,H,VS2,63.5,58,1389,5.08,5.09,3.23
561,0.52,Very Good,H,VS2,61.4,55,1389,5.19,5.24,3.2
562,0.54,Premium,H,VS2,61.9,55,1389,5.25,5.22,3.24
563,0.54,Premium,H,VS2,61.6,58,1389,5.24,5.22,3.22
564,0.5,Premium,H,VS1,60.3,58,1395,5.22,5.17,3.13
565,0.6,Very Good,H,SI1,63.1,60,1402,5.3,5.35,3.36
566,0.58,Very Good,H,SI1,62.5,58,1402,5.29,5.31,3.31
567,0.58,Very Good,I,VS2,61.7,54.1,1408,5.37,5.4,3.32
568,0.5,Very Good,H,VS1,63,56,1410,5.02,5.05,3.17
569,0.5,Very Good,H,VS1,62.5,58,1410,5.04,5.1,3.17
570,0.5,Very Good,H,VS2,61.2,55,1411,5.12,5.16,3.15
571,0.64,Fair,I,VS2,55.3,69,1411,5.85,5.69,3.19
572,0.53,Premium,H,VS2,61.4,52,1412,5.29,5.26,3.24
573,0.51,Very Good,H,VS2,60.8,58,1414,5.12,5.17,3.13
574,0.57,Premium,H,VS2,60.1,61,1414,5.4,5.29,3.21
575,0.7,Premium,I,SI2,62.3,59,1415,5.64,5.59,3.5
576,0.5,Premium,I,VVS1,58.2,62,1415,5.25,5.19,3.04
577,0.56,Ideal,I,VS2,62.2,57,1417,5.27,5.28,3.28
578,0.53,Ideal,H,VS2,61.4,55.4,1417,5.19,5.24,3.2
579,0.58,Ideal,H,SI1,61.8,56,1421,5.36,5.38,3.32
580,0.58,Ideal,H,SI1,60.9,57,1421,5.38,5.33,3.26
581,0.58,Ideal,H,SI1,60.2,57,1421,5.47,5.43,3.28
582,0.63,Ideal,I,VS2,62.1,54,1423,5.51,5.54,3.43
583,0.5,Very Good,H,VS1,64.6,56,1426,4.97,5.06,3.24
584,0.53,Ideal,H,VS2,61.5,56,1427,5.21,5.26,3.22
585,0.53,Ideal,H,VS2,61.6,55,1427,5.23,5.25,3.23
586,0.56,Ideal,H,VS2,61.7,54,1427,5.31,5.33,3.28
587,0.53,Ideal,I,VS1,62.3,56,1427,5.19,5.23,3.24
588,0.59,Good,I,VVS2,57.8,61,1427,5.52,5.6,3.21
589,0.51,Ideal,H,VS2,60.1,60,1428,5.19,5.14,3.1
590,0.53,Premium,H,VS2,59.4,59,1428,5.31,5.27,3.14
591,0.5,Very Good,H,VS1,62.5,59,1429,5.01,5.04,3.14
592,0.5,Ideal,H,VS1,61.7,59,1429,5.07,5.14,3.15
593,0.56,Premium,H,VS2,62.2,60,1432,5.28,5.23,3.27
594,0.31,Ideal,H,VS2,61.3,56,507,4.36,4.38,2.68
595,0.31,Ideal,H,VS2,61.5,56,507,4.38,4.4,2.7
596,0.31,Ideal,H,VS2,62,55,507,4.36,4.38,2.71
597,0.31,Ideal,H,VS2,61.2,56,507,4.35,4.37,2.67
598,0.31,Ideal,H,VS2,61.8,57,507,4.32,4.36,2.68
599,0.31,Ideal,I,VS1,62.4,53,507,4.33,4.36,2.71
600,0.31,Ideal,I,VS1,61.2,55,507,4.37,4.39,2.68
601,0.31,Ideal,I,VS1,61.8,56,507,4.38,4.39,2.71
602,0.3,Ideal,H,VS1,62.1,57,507,4.27,4.3,2.66
603,0.26,Ideal,H,VVS2,62.5,54,508,4.11,4.14,2.58
604,0.6,Premium,H,SI1,62,56,1433,5.44,5.4,3.36
605,0.53,Ideal,I,VVS1,62.2,53,1435,5.17,5.21,3.23
606,0.53,Ideal,H,VS2,61.9,55.2,1435,5.21,5.24,3.24
607,0.53,Ideal,H,VS2,61.7,56,1435,5.17,5.21,3.2
608,0.51,Ideal,H,SI2,61.7,55,1435,5.13,5.15,3.17
609,0.51,Ideal,H,SI2,62,55,1435,5.12,5.14,3.18
610,0.51,Very Good,H,VS2,61.4,55.8,1436,5.14,5.19,3.17
611,0.67,Fair,I,VS2,57.2,70,1436,5.82,5.75,3.31
612,0.51,Ideal,I,VS2,61.1,56,1437,5.16,5.18,3.16
613,0.61,Fair,I,VS2,57.4,60.9,1437,5.6,5.65,3.23
614,0.51,Very Good,H,VS1,63.4,57,1437,5.09,5.06,3.22
615,0.51,Ideal,H,VS1,62.7,57,1438,5.08,5.13,3.2
616,0.51,Ideal,H,VS1,61.1,56,1438,5.11,5.16,3.14
617,0.51,Ideal,H,VS1,62.6,57,1438,5.09,5.13,3.2
618,0.51,Ideal,H,VS1,62.7,54,1438,5.12,5.15,3.22
619,0.51,Good,H,VS1,63.7,55,1438,5.07,5.1,3.24
620,0.61,Premium,I,VS2,61.8,56,1438,5.44,5.41,3.35
621,0.54,Ideal,H,VS2,60.1,57,1439,5.33,5.28,3.19
622,0.54,Premium,H,VS2,62.6,58,1439,5.19,5.16,3.24
623,0.54,Very Good,H,VS2,63.2,55,1439,5.24,5.2,3.3
624,0.58,Premium,H,VS2,59.7,59,1439,5.42,5.33,3.21
625,0.63,Good,I,VS2,56.1,65,1440,5.73,5.78,3.23
626,0.53,Good,H,IF,61.2,65,1440,5.16,5.27,3.19
627,0.6,Ideal,H,VS2,62.1,55,1442,5.42,5.46,3.38
628,0.51,Ideal,H,VS2,60.8,57,1442,5.14,5.16,3.13
629,0.59,Ideal,I,VS1,62.2,57,1442,5.33,5.38,3.33
630,0.51,Premium,H,VS1,62.5,58,1443,5.12,5.09,3.19
631,0.59,Very Good,I,VS2,61.2,57,1445,5.4,5.42,3.31
632,0.59,Very Good,I,VS2,60.3,59,1445,5.41,5.43,3.27
633,0.59,Ideal,H,SI1,61.1,57,1445,5.39,5.41,3.3
634,0.62,Very Good,H,SI1,60.1,61,1446,5.55,5.59,3.35
635,0.5,Ideal,H,VS2,60.8,56,1446,5.17,5.19,3.14
636,0.5,Ideal,H,SI1,61.9,56,1446,5.08,5.13,3.16
637,0.5,Very Good,I,VVS1,62.8,61,1448,4.98,5.05,3.15
638,0.57,Ideal,I,VS1,62.2,55,1448,5.28,5.33,3.3
639,NA,Ideal,H,VS1,NA,57,1449,5.15,5.19,3.13
640,0.53,Ideal,H,VS1,62.3,54,1449,5.18,5.22,3.24
641,0.46,Ideal,H,IF,62.2,55,1450,4.94,4.99,3.09
642,0.54,Ideal,I,VS1,62.3,57,1452,5.2,5.24,3.25
643,0.54,Ideal,H,VS2,61.6,55,1453,5.23,5.25,3.23
644,0.54,Ideal,H,VS2,61.5,55,1453,5.25,5.28,3.24
645,0.54,Ideal,I,VS1,63.1,55,1453,5.18,5.22,3.27
646,0.52,Ideal,I,VVS1,60.1,56,1454,5.24,5.27,3.16
647,0.54,Ideal,H,VS1,61.2,55,1454,5.25,5.31,3.23
648,0.34,Ideal,H,SI1,61.1,56,508,4.52,4.55,2.77
649,0.35,Ideal,I,VS2,61.1,57,509,4.55,4.58,2.79
650,0.35,Ideal,I,VS2,61.4,55,509,4.54,4.58,2.8
651,NA,Ideal,H,VS2,NA,57,509,4.19,4.17,2.53
652,0.38,Ideal,H,SI2,61.3,54,510,4.68,4.7,2.87
653,0.29,Ideal,H,VVS2,61.7,56,511,4.29,4.33,2.66
654,0.31,Ideal,I,VVS1,62.1,54,511,4.34,4.39,2.71
655,0.33,Ideal,H,SI1,61,55,511,4.45,4.49,2.73
656,0.33,Ideal,H,SI1,60.9,56,511,4.5,4.53,2.75
657,0.23,Ideal,H,VS2,62.3,53,512,3.96,3.99,2.48
658,0.35,Premium,I,SI2,60.9,58,512,4.56,4.53,2.77
659,0.3,Good,H,VS1,63.2,59,512,4.31,4.27,2.71
660,0.31,Ideal,H,VS2,62.1,55,513,4.34,4.36,2.7
661,0.31,Ideal,H,VS2,61.5,55.2,513,4.36,4.39,2.7
662,0.31,Ideal,I,VS1,61.4,55.2,513,4.32,4.35,2.66
663,0.31,Ideal,I,VS1,61.3,55.6,513,4.37,4.4,2.69
664,0.28,Ideal,H,VVS2,61.6,56,514,4.22,4.26,2.61
665,0.28,Ideal,H,VVS2,61.2,55,514,4.18,4.22,2.57
666,0.3,Ideal,H,SI1,61.9,54,514,4.31,4.34,2.68
667,0.3,Ideal,H,SI1,62.2,53,514,4.29,4.32,2.68
668,0.3,Ideal,I,VVS2,62.1,56,515,4.29,4.31,2.67
669,0.3,Ideal,I,VVS2,62.6,56,515,4.26,4.3,2.68
670,0.3,Ideal,I,VVS2,62.2,56,515,4.27,4.31,2.67
671,0.3,Ideal,I,VVS2,62.2,55,515,4.3,4.32,2.68
672,0.3,Ideal,I,VVS2,62,56,515,4.29,4.32,2.67
673,0.31,Ideal,H,VS2,61.2,59,515,4.36,4.4,2.68
674,0.3,Good,D,SI1,63.4,54,515,4.27,4.31,2.72
675,0.3,Good,D,SI1,63.1,56,515,4.24,4.28,2.69
676,0.3,Good,D,SI1,63.4,55,515,4.22,4.26,2.69
677,0.32,Ideal,H,VS1,61.8,53,516,4.41,4.43,2.73
678,0.4,Ideal,H,SI2,61.6,56,516,4.73,4.75,2.92
679,0.34,Ideal,H,SI1,61.3,56,516,4.48,4.52,2.76
680,0.34,Ideal,H,VS2,61.8,55,517,4.49,4.51,2.78
681,0.34,Ideal,H,VS2,61.2,55,517,4.49,4.53,2.76
682,0.32,Premium,H,SI2,61.8,55,517,4.42,4.35,2.71
683,0.32,Good,H,SI2,63.8,56,517,4.38,4.36,2.79
684,0.32,Very Good,H,SI2,63.1,56,517,4.37,4.34,2.75
685,0.31,Ideal,H,VS2,61.5,54,518,4.35,4.4,2.69
686,0.3,Ideal,I,VS1,62.2,56,518,4.27,4.31,2.67
687,0.3,Ideal,I,VS1,62.6,54,518,4.24,4.29,2.67
688,0.36,Very Good,H,SI1,59.3,60,518,4.62,4.65,2.75
689,NA,Very Good,H,SI2,NA,59,393,4.39,4.42,2.66
690,0.28,Very Good,H,VS2,59.7,60,394,4.25,4.29,2.55
691,0.3,Ideal,I,SI1,61.3,56,394,4.32,4.33,2.65
692,0.3,Ideal,I,SI1,62.3,56,394,4.32,4.35,2.7
693,0.3,Premium,I,SI1,60.9,59,394,4.34,4.36,2.65
694,0.3,Good,I,SI1,63.5,57,394,4.24,4.26,2.7
695,0.3,Good,I,SI1,63.8,57,394,4.19,4.27,2.7
696,0.3,Very Good,I,SI1,61.6,62,394,4.27,4.3,2.64
697,0.42,Ideal,D,VVS1,61.8,55,1547,4.83,4.85,2.99
698,0.42,Ideal,D,VVS1,61.6,56,1547,4.79,4.82,2.96
699,0.42,Very Good,D,VVS1,62.8,56,1547,4.76,4.8,3
700,0.42,Ideal,D,VVS1,61.8,56,1547,4.79,4.82,2.97
701,0.52,Ideal,D,SI1,61.1,57,1547,5.19,5.25,3.19
702,0.53,Very Good,H,VVS2,61.3,61,1548,5.15,5.2,3.17
703,0.55,Very Good,H,VS2,62,55.2,1548,5.28,5.31,3.28
704,0.51,Ideal,D,SI1,62.4,57,1548,5.11,5.15,3.2
705,0.45,Premium,D,VVS2,59.8,59,1548,5.01,4.85,2.96
706,0.51,Good,D,VS2,63.7,57,1549,5,5.05,3.2
707,0.67,Ideal,H,SI1,62.1,54,1550,5.61,5.66,3.5
708,0.54,Premium,D,SI1,60,58,1551,5.26,5.3,3.17
709,0.54,Good,D,SI1,63.2,55,1551,5.17,5.21,3.28
710,0.59,Very Good,H,VS2,61.8,56,1552,5.37,5.41,3.33
711,0.53,Ideal,I,VS1,61.8,55,1552,5.19,5.23,3.22
712,0.5,Very Good,D,VS2,63.7,56,1553,4.95,5.03,3.18
713,0.51,Ideal,D,SI1,62,55,1553,5.11,5.15,3.18
714,0.57,Ideal,H,VS1,61.7,54,1554,5.33,5.36,3.3
715,0.57,Ideal,H,VS1,61.3,56,1554,5.36,5.38,3.29
716,0.52,Very Good,D,VS2,60.9,58,1555,5.22,5.16,3.16
717,0.7,Good,I,SI2,63.2,60,1556,5.55,5.62,3.53
718,0.5,Premium,I,VVS1,62.8,61,1556,5.05,4.98,3.15
719,0.6,Very Good,H,VS2,60.8,60,1557,5.39,5.44,3.29
720,0.57,Ideal,H,VS2,61.6,55,1558,5.34,5.36,3.29
721,0.54,Ideal,H,VS1,61,56,1560,5.25,5.27,3.21
722,0.53,Very Good,H,VS1,63.3,56,1561,5.13,5.17,3.26
723,0.59,Very Good,H,VS1,62.4,58,1561,5.39,5.42,3.37
724,0.57,Good,D,SI1,59.3,61,1561,5.34,5.38,3.18
725,0.51,Very Good,D,SI1,63.2,55,1562,5.12,5.07,3.22
726,0.51,Ideal,H,VS2,61.7,56,1563,5.13,5.18,3.18
727,0.5,Ideal,D,SI1,60.9,57,1563,5.11,5.13,3.12
728,0.58,Good,D,SI2,56.7,60,1563,5.59,5.53,3.15
729,0.54,Ideal,I,VVS1,62.7,57,1564,5.14,5.22,3.25
730,0.6,Very Good,I,VVS2,63.7,57.4,1565,5.36,5.41,3.42
731,0.5,Very Good,D,VS2,61.1,58,1565,5.09,5.18,3.14
732,0.53,Ideal,D,SI1,62.3,56,1566,5.15,5.18,3.22
733,0.53,Ideal,D,SI1,62,57,1566,5.19,5.23,3.23
734,0.53,Premium,D,SI1,61.4,58,1566,5.19,5.23,3.2
735,0.71,Premium,H,SI2,61.7,59,1567,5.76,5.72,3.54
736,0.56,Ideal,D,SI2,60,58,1568,5.42,5.38,3.24
737,0.5,Very Good,H,VVS2,62.9,56,1569,5.03,5.08,3.18
738,0.5,Very Good,D,VS2,63.3,56,1569,5,5.05,3.18
739,0.51,Premium,D,SI1,60.1,60,1569,5.15,5.17,3.1
740,0.51,Very Good,D,SI1,60.9,59,1569,5.13,5.19,3.14
741,0.51,Very Good,D,SI1,61,60,1569,5.15,5.18,3.15
742,0.51,Ideal,D,SI1,61.6,56,1569,5.1,5.12,3.15
743,0.51,Premium,D,SI1,60.3,59,1569,5.2,5.22,3.14
744,0.51,Very Good,D,SI1,62.3,57,1569,5.08,5.13,3.18
745,0.51,Premium,D,SI1,60.1,60,1569,5.14,5.18,3.1
746,0.51,Ideal,D,SI1,61.8,55,1569,5.14,5.18,3.19
747,0.51,Ideal,D,SI1,61.7,55,1569,5.11,5.16,3.17
748,0.51,Ideal,D,SI1,62.4,57,1569,5.09,5.13,3.19
749,0.51,Premium,D,SI1,61.6,58,1569,5.12,5.14,3.16
750,0.51,Very Good,D,SI1,62.8,56,1569,5.07,5.09,3.19
751,0.51,Ideal,D,SI1,61.9,54,1569,5.14,5.2,3.19
752,0.56,Ideal,H,SI2,60.7,56,1571,5.34,5.37,3.25
753,0.55,Ideal,D,SI1,62.1,56,1571,5.21,5.25,3.25
754,0.5,Ideal,D,VS1,63,57,1571,5.06,5,3.17
755,0.46,Very Good,H,VVS1,62,56,1572,4.96,4.98,3.07
756,0.61,Very Good,I,VS2,62.4,57,1572,5.4,5.43,3.38
757,0.52,Very Good,H,VS1,63.5,58,1572,5.08,5.13,3.24
